Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,reviewed_by
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-10-12T03:22:11,2014-10-14T21:01:22,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-10-25T16:20:11,2014-10-30T17:16:26,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-11-02T14:29:01,2014-11-05T19:35:03,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-11-07T00:17:20,2014-11-13T22:00:52,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-11-14T18:36:18,2014-11-17T18:32:34,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2014-11-20T13:27:46,2014-12-16T20:29:00,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2015-02-01T20:36:31,2015-02-03T09:57:03,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,1,2015-03-07T23:08:40,2015-03-09T07:39:50,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,2,2015-09-30T23:59:59,2015-10-02T22:15:31,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,2,2015-10-28T13:37:12,2015-11-05T18:44:35,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,2,2016-04-23T05:32:40,2016-04-25T02:24:00,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS-SF01A-2A-CTDPFA102,3,2017-01-09T18:30:53,2017-01-11T00:55:40,,NOT_OPERATIONAL,,find out if known issue,leila
RS01SBPS,,2017-02-15T14:43:06,2017-02-16T23:40:23,"On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified.",NOT_OPERATIONAL,11998,add subsite deployment number,friedrich
