Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo
seawater_conductivity,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
conductivity,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
practical_salinity,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
seawater_density,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,3,2016-08-30T15:06:00,2016-09-04T01:39:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,3,2016-09-14T08:20:00,2016-09-14T22:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,3,2017-01-11T21:41:00,2017-01-12T10:13:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,3,2017-01-12T13:07:00,2016-09-16T19:21:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,3,2017-01-13T10:28:00,2017-01-13T22:02:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
seawater_conductivity,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
seawater_conductivity,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
conductivity,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
conductivity,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
practical_salinity,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
practical_salinity,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
seawater_density,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
seawater_density,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,2,2016-05-06T11:32:00,2016-05-06T21:26:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,2,2016-06-10T17:47:00,2016-06-12T14:01:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
corrected_dissolved_oxygen,2,2016-07-08T00:26:00,2016-07-09T15:29:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",Suspect,,
