Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo
streamed-ctdpf_sbe43_sample,1,2014-10-07T21:32:53,2014-10-30T05:47:42,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2014-10-30T05:47:42,2014-12-03T22:52:26,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2014-12-03T22:52:26,2014-12-07T20:59:39,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2014-12-07T20:59:39,2014-12-16T18:07:01,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2014-12-16T18:07:01,2015-02-01T20:36:30,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-02-01T20:36:30,2015-02-03T09:56:33,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-02-03T09:56:33,2015-07-08T19:06:45,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-02-26T17:01:52,2015-03-02T20:03:38,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-03-02T20:03:38,2015-03-07T23:10:59,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-03-07T23:10:59,2015-03-09T07:39:49,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-03-09T07:39:49,2015-03-30T17:11:48,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-03-30T17:11:48,2015-04-01T17:37:12,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-04-01T17:37:12,2015-04-09T18:26:38,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-04-09T18:26:38,2015-04-13T20:52:28,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-04-13T20:52:28,2015-06-19T22:02:17,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-06-19T22:02:17,2015-06-22T17:11:02,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,1,2015-06-22T17:11:02,2015-07-01T16:46:48,,Not Evaluated,,change to available once all parameters have been reviewed
streamed-ctdpf_sbe43_sample,1,2015-07-01T16:46:48,2015-07-03T21:12:49,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,2,2015-07-10T22:47:00,2016-04-15T22:10:02,,Available,,
streamed-ctdpf_sbe43_sample,2,2016-04-15T22:10:02,2016-04-20T15:15:49,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,2,2016-04-20T15:15:49,2016-04-20T18:34:58,"Data collected in between the gaps is suspect. Multiple data products show values lower than expected, throughout the entire water column.",Suspect,,change to be at parameter level
streamed-ctdpf_sbe43_sample,2,2016-04-20T18:34:58,2016-04-22T14:44:53,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,2,2016-04-22T14:44:53,2016-04-22T17:46:52,"Data collected in between the gaps is suspect. Multiple data products show values lower than expected, throughout the entire water column.",Suspect,,change to be at parameter level
streamed-ctdpf_sbe43_sample,2,2016-04-22T17:46:52,2016-04-25T02:24:00,,Unavailable,,find out if known issue
streamed-ctdpf_sbe43_sample,2,2016-04-25T02:24:00,2016-05-06T21:26:00,,Available,,
streamed-ctdpf_sbe43_sample,2,2016-05-06T21:26:00,2016-05-07T14:48:00,Suspect intermittent data gaps.,Suspect,12121,change to be at parameter level
streamed-ctdpf_sbe43_sample,2,2016-05-07T14:48:00,2016-06-30T11:59:59,,Available,,
streamed-ctdpf_sbe43_sample,3,2016-07-14T21:18:00,2017-02-15T14:43:06,These data have been reviewed and are available. Issues with individual data products are remarked at the parameter level.,Available,,
streamed-ctdpf_sbe43_sample,3,2017-02-15T14:43:06,2017-02-16T23:40:23,,Unavailable,,
streamed-ctdpf_sbe43_sample,3,2017-02-16T23:40:23,2017-02-24T00:00:00,These data have been reviewed and are available. Issues with individual data products are remarked at the parameter level.,Available,,
