Level,Deployment,TimeRange,Type,Text,Status,Redmine #,Public (True or False),To do flag
RS03AXPS,3,"['2017-02-15 14:43:05', '2017-02-16 23:40:23']'",Annotation,,Not operational,11998,True',
streamed-ctdpf_sbe43_sample,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Available,,False',
seawater_temperature,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
temperature,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
seawater_pressure,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
pressure,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
seawater_conductivity,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
seawater_conductivity,3,"['2017-01-12T13:00:00', '2017-01-12T17:00:00']'",Annotation,,Suspect,,True',True'
conductivity,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
conductivity,3,"['2017-01-12T13:00:00', '2017-01-12T17:00:00']'",Annotation,,Suspect,,True',True'
practical_salinity,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
practical_salinity,3,"['2017-01-12T13:00:00', '2017-01-12T17:00:00']'",Annotation,,Suspect,,True',True'
seawater_density,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Pass,,True',
seawater_density,3,"['2017-01-12T13:00:00', '2017-01-12T17:00:00']'",Annotation,,Suspect,,True',True'
corrected_dissolved_oxygen,3,"['2016-07-14T21:18:00.492217', 'None']'",Annotation,,Not evaluated,,True',True'
