Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temp,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
temp,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
density,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
pressure,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
conductivity,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00002,2014-10-10T18:30:22Z,2015-01-06T03:30:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
practical_salinity,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temp,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
temp,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
density,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
pressure,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
conductivity,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00003,2015-06-03T18:29:19Z,2015-10-06T23:29:19Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
