Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temp,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
temp,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
density,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
pressure,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
conductivity,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00002,2014-10-11T00:30:19Z,2014-10-13T00:30:18Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
practical_salinity,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temp,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
density,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
pressure,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
conductivity,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00003,2015-06-03T18:29:19Z,2015-08-24T21:29:18Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
practical_salinity,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
temp,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-26T00:00:00Z
temp,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
density,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-26T00:00:00Z
pressure,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-26T00:00:00Z
pressure,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
conductivity,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-26T00:00:00Z
conductivity,D00006,2016-11-18T20:35:10Z,2017-01-21T23:35:20Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-26T00:00:00Z
