Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
density,D00001,2014-09-25T18:17:58Z,2014-11-09T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00001,2014-09-25T18:17:58Z,2014-11-09T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00001,2014-09-25T18:17:58Z,2014-11-09T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
oxy_calphase,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctd_tc_oxygen,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctdbp_no_abs_oxygen,,,,,,,,friedrich,2017-03-29T00:00:00Z
temperature,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctdbp_no_seawater_pressure,,,,,,,,friedrich,2017-03-29T00:00:00Z
seawater_temperature,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctdbp_no_seawater_conductivity,,,,,,,,friedrich,2017-03-29T00:00:00Z
oxygen,,,,,,,,friedrich,2017-03-29T00:00:00Z
pressure,,,,,,,,friedrich,2017-03-29T00:00:00Z
pressure_temp,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctdbp_no_practical_salinity,,,,,,,,friedrich,2017-03-29T00:00:00Z
oxy_temp,,,,,,,,friedrich,2017-03-29T00:00:00Z
ctdbp_no_seawater_density,,,,,,,,friedrich,2017-03-29T00:00:00Z
conductivity,,,,,,,,friedrich,2017-03-29T00:00:00Z
density,D00001,2014-11-10T00:00:00Z,2015-01-02T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00001,2014-11-10T00:00:00Z,2015-01-02T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00001,2014-11-10T00:00:00Z,2015-01-02T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00001,2015-01-03T00:00:00Z,2015-02-17T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00001,2015-01-03T00:00:00Z,2015-02-17T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00001,2015-01-03T00:00:00Z,2015-02-17T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00001,2015-02-18T00:00:00Z,2015-05-14T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00001,2015-02-18T00:00:00Z,2015-05-14T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00001,2015-02-18T00:00:00Z,2015-05-14T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00001,2015-05-15T00:00:00Z,2015-07-31T17:52:18Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00001,2015-05-15T00:00:00Z,2015-07-31T17:52:18Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00001,2015-05-15T00:00:00Z,2015-07-31T17:52:18Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00002,2015-08-02T19:53:33Z,2015-09-13T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00002,2015-08-02T19:53:33Z,2015-09-13T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00002,2015-08-02T19:53:33Z,2015-09-13T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00002,2015-09-14T00:00:00Z,2015-10-25T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00002,2015-09-14T00:00:00Z,2015-10-25T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00002,2015-09-14T00:00:00Z,2015-10-25T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00002,2015-10-26T00:00:00Z,2015-12-06T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
practical_salinity,D00002,2015-10-26T00:00:00Z,2015-12-06T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
dissolved_oxygen,D00002,2015-10-26T00:00:00Z,2015-12-06T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
density,D00002,2015-12-07T00:00:00Z,2016-01-17T23:59:59Z,,NOT_AVAILABLE,,check: variable listed in database but not in file,friedrich,2017-03-29T00:00:00Z
