Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_no_sample,D00001,2014-09-10T15:43:00Z,2014-09-25T18:17:58Z,,NOT_AVAILABLE,,check: difference between data begin and deployment begin date is: 15 days 02:34:58,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-09-25T18:17:58Z,2014-11-04T16:05:52Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-11-04T16:05:52Z,2014-11-05T19:04:12Z,,NOT_AVAILABLE,,check: data gap: 1 days 02:58:20,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-11-05T19:04:12Z,2014-11-14T18:23:38Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-11-14T18:23:38Z,2014-11-17T18:05:43Z,,NOT_AVAILABLE,,check: data gap: 2 days 23:42:05,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-11-17T18:05:43Z,2014-12-07T20:59:40Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-12-07T20:59:40Z,2014-12-16T22:38:15Z,,NOT_AVAILABLE,,check: data gap: 9 days 01:38:35,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2014-12-16T22:38:15Z,2015-01-31T23:59:59Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2015-01-31T23:59:59Z,2015-02-03T09:56:42Z,,NOT_AVAILABLE,,check: data gap: 2 days 09:56:43,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2015-02-03T09:56:42Z,2015-02-26T16:51:09Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-03-29T00:00:00Z
ctdbp_no_sample,D00001,2015-02-26T16:51:09Z,2015-03-02T20:23:28Z,,NOT_AVAILABLE,,check: data gap: 4 days 03:32:19,friedrich,2017-03-29T00:00:00Z
