Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_sbe43_sample,D00001,2014-08-30T21:51:00Z,2014-11-05T21:30:49Z,"Powered down, Offline due to groundfaults.",NOT_AVAILABLE,12173,"check: difference between data begin and deployment begin date is: 66 days 23:39:49.  Ann Source: RSN_deployment sheet, investigate further the dates in the time range.",Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00001,2014-11-05T21:30:49Z,2015-08-01T14:13:32Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2014-12-07T19:45:00Z,2014-12-16T00:00:00Z,"PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2015-01-07T07:32:00Z,2015-01-07T08:06:00Z,PNWGP Portland <-> Seattle outage,NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2015-01-31T00:00:00Z,2015-02-04T00:00:00Z,Intermittent partial data loss due to storage drive problems at OTB,NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2015-08-03T04:05:43Z,2016-04-14T19:55:47Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2016-01-07T06:10:00Z,2016-01-07T06:52:00Z,Four 1-minute outages between Portland and Seattle due to maintenance,NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2016-03-10T23:06:00Z,2016-03-11T09:30:00Z,Fiber break between Portland and Seattle,NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2016-04-14T19:55:47Z,2016-04-19T23:05:49Z,Data gap under investigation,NOT_AVAILABLE,12175,check: data gap: 5 days 03:10:02,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2016-04-19T23:05:49Z,2016-04-23T15:10:16Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2016-04-23T15:10:16Z,2016-04-25T02:23:59Z,Data gap under investigation,NOT_AVAILABLE,12175,check: data gap: 1 days 11:13:43,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2016-04-25T02:23:59Z,2016-07-16T06:52:54Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2016-05-20T16:33:00Z,2016-05-20T18:04:00Z,Fiber break between Portland and Pacific City,NOT_AVAILABLE,12264,Verified against data,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00002,2016-07-16T06:52:54Z,2016-07-18T00:00:00Z,Instrument operational  up to July 10 2016,NOT_AVAILABLE,12174,"check: difference between data end and deployment end date is: 1 days 17:07:06. Ann Source: RSN_deployment sheet, investigate further the dates in the time range.",Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00003,2016-07-19T08:00:00Z,2017-01-09T18:30:53Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2017-01-09T18:30:53Z,2017-01-09T20:25:00Z,"Lightning strike in Pacific City led to isolation of both cable lines from shore station equipment, when Power Feed Equipment High Voltage Opening Switches operated. All deployed infrastructure went offline.",NOT_AVAILABLE,11776,add subsite deployment number. Ann. Source ; CA_Outage_Summary_2017-03-30_ver_0-01.xlsx,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00003,2017-01-09T20:25:00Z,2017-01-11T01:09:09Z,CTD offline because of power interruption caused by lightning strike in Pacific City in close proximity to shore station.,NOT_AVAILABLE,11776,check: data gap: 1 days 06:38:16,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00003,2017-01-11T01:09:09Z,2017-02-15T14:43:05Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,,2017-02-15T14:43:05Z,2017-02-15T17:16:00Z,Power Feed Equipment failure during major utility power issues related to lightning strike on Pacific City electrical sub-station.  All deployed infrastructure went offline. Power was restored on February 16. No hardware issue subsea was identified.,NOT_AVAILABLE,11998,add subsite deployment number. Ann. Source ; CA_Outage_Summary_2017-03-30_ver_0-01.xlsx,friedrich,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00003,2017-02-15T14:43:05Z,2017-02-16T23:31:07Z,CTD offline because of power interruption caused by lightning strike in Pacific City in close proximity to shore station.,NOT_AVAILABLE,11998,check: data gap: 1 days 08:48:02,Leila,2017-04-10T00:00:00Z
ctdpf_sbe43_sample,D00003,2017-02-16T23:31:07Z,2017-04-10T16:00:15Z,,AVAILABLE,,check: evaluate parameters,Leila,2017-04-10T00:00:00Z
