Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,friedrich,2017-05-11T00:00:00Z
sci_water_pressure_dbar,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,friedrich,2017-05-11T00:00:00Z
sci_water_cond,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich,2017-05-11T00:00:00Z
sci_water_cond,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_water_cond,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_m_present_secs_into_mission,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,friedrich,2017-05-11T00:00:00Z
sci_water_pressure,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-05-11T00:00:00Z
sci_water_pressure,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_water_pressure,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_seawater_density,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-05-11T00:00:00Z
sci_seawater_density,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_seawater_density,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
sci_seawater_density,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-05-11T00:00:00Z
m_present_secs_into_mission,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,friedrich,2017-05-11T00:00:00Z
sci_water_temp,D00005,2016-09-28T22:01:54Z,2017-01-05T23:59:59Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-05-11T00:00:00Z
