Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-19T03:00:02Z,2014-04-29T13:04:51Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
practical_salinity,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
density,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
density,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
density,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999999.0,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Global Range QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00002,2014-10-08T20:30:03Z,2015-04-04T23:56:10Z,applies to one file,Spike QC Test,,check: test triggered,2017-05-11T00:00:00Z,michaesm
