Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,,,,,,,,2017-05-11T00:00:00Z,michaesm
temperature,,,,,,,,2017-05-11T00:00:00Z,michaesm
density,,,,,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,,,,,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,,,,,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,,,,,,,,2017-05-11T00:00:00Z,michaesm
pressure,,,,,,,,2017-05-11T00:00:00Z,michaesm
conductivity,,,,,,,,2017-05-11T00:00:00Z,michaesm
pressure,D00004,2015-10-16T23:00:03Z,2015-12-06T19:32:32Z,applies to one file,FAILED,,tested fill_test: True,2017-05-11T00:00:00Z,michaesm
conductivity,D00004,2015-10-16T23:00:03Z,2015-12-06T19:32:32Z,applies to one file,FAILED,,tested fill_test: True,2017-05-11T00:00:00Z,michaesm
