Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedDate,ReviewedBy
practical_salinity,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
temperature,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
density,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_pressure,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_temperature,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
ctdpf_ckl_seawater_conductivity,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
pressure,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
conductivity,D00001,2014-04-29T04:00:00Z,2014-04-29T13:30:00Z,Profiler only sampling on ascent,,,,2017-05-11T00:00:00Z,michaesm
pressure,D00004,2015-10-16T23:00:03Z,2015-12-06T19:32:32Z,applies to one file,FAILED,,tested fill_test: True,2017-05-11T00:00:00Z,michaesm
conductivity,D00004,2015-10-16T23:00:03Z,2015-12-06T19:32:32Z,applies to one file,FAILED,,tested fill_test: True,2017-05-11T00:00:00Z,michaesm
