Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_cdef_dcl_instrument,D00001,2013-11-21T18:15:04Z,2014-02-17T12:04:56Z,,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00001,2014-02-17T12:04:56Z,2014-04-18T00:00:00Z,,NOT_AVAILABLE,,Ask MIO if the instrument failed.,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00002,2014-12-13T19:05:05Z,2014-12-14T23:05:05Z,Short timeframe of sparse data. See platform level annotation.,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-05-07T18:05:09Z,2015-05-22T11:05:10Z,,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-05-22T11:05:10Z,2015-10-23T19:40:00Z,,NOT_AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-05-13T14:02:09Z,2016-05-31T12:02:10Z,,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-05-31T12:02:10Z,2016-06-08T22:02:09Z,Intermittent data,NOT_AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-06-08T22:02:09Z,2016-06-15T20:00:10Z,,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-06-15T20:00:10Z,2016-06-20T15:02:09Z,Intermittent data,NOT_AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-06-20T15:02:09Z,2016-08-08T18:02:09Z,Instrument occasionally not sending back data at intended sampling rate.,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-08-08T18:02:09Z,2016-10-13T19:34:00Z,Instrument stopped sending valid data.,NOT_AVAILABLE,11083,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00006,2016-10-13T19:00:12Z,2016-12-13T00:00:12Z,,AVAILABLE,,,lori,2017-04-27T00:00:00Z
ctdbp_cdef_dcl_instrument,D00006,2016-12-13T00:00:12Z,2017-01-18T00:00:11Z,A race condition is causing partial ingestion of the data. Data need to be re-ingested.,PENDING_INGEST,12276,check when data are re-ingested,lori,2017-04-27T00:00:00Z
