Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-28T00:00:00Z
temp,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-28T00:00:00Z
density,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-28T00:00:00Z
pressure,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-28T00:00:00Z
conductivity,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-28T00:00:00Z
conductivity,D00001,2013-11-21T18:15:25Z,2014-02-17T13:27:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-28T00:00:00Z
practical_salinity,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-28T00:00:00Z
temp,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-04-28T00:00:00Z
density,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-04-28T00:00:00Z
pressure,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-04-28T00:00:00Z
conductivity,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-04-28T00:00:00Z
conductivity,D00004,2015-10-23T19:15:25Z,2016-04-02T03:48:26Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-04-28T00:00:00Z
