Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
adcps_jln_upward_seawater_velocity2,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_eastward_seawater_velocity2,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_temp,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-06-08T00:00:00Z
adcps_jln_temp,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_number,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-06-08T00:00:00Z
adcps_jln_number,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_pitch,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-06-08T00:00:00Z
adcps_jln_pitch,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
water_velocity_north,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -32768.0,Leila,2017-06-08T00:00:00Z
water_velocity_north,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = -3000.0 global_max = 3000.0,Leila,2017-06-08T00:00:00Z
adcps_jln_roll,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-06-08T00:00:00Z
adcps_jln_roll,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
adcps_jln_second,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-06-08T00:00:00Z
adcps_jln_second,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-06-08T00:00:00Z
