Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
adcps_jln_upward_seawater_velocity2,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_eastward_seawater_velocity2,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_temp,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_number,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_pitch,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_north,,,,,,,,Leila,2017-06-08T00:00:00Z
water_velocity_north,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_roll,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_second,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_second,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_fw_rev,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_bins,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_northward_seawater_velocity2,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_error_velocity2,,,,,,,,Leila,2017-06-08T00:00:00Z
water_velocity_up,,,,,,,,Leila,2017-06-08T00:00:00Z
water_velocity_up,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_east,,,,,,,,Leila,2017-06-08T00:00:00Z
water_velocity_east,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_pressure,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_unit_id,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_unit_id,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_year,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_day,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_record,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_heading,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_startbin,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_month,,,,,,,,Leila,2017-06-08T00:00:00Z
error_velocity,,,,,,,,Leila,2017-06-08T00:00:00Z
error_velocity,D00002,2014-04-12T16:45:00Z,2014-10-08T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_fw_vers,,,,,,,,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_north,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_second,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_up,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_east,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_unit_id,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
error_velocity,D00003,2014-10-21T03:15:00Z,2014-12-13T23:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_hsec,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_north,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_second,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_up,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
water_velocity_east,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_unit_id,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
error_velocity,D00005,2015-05-03T13:45:00Z,2015-10-16T10:45:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_hour,D00006,2015-10-16T19:30:00Z,2016-04-03T14:00:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
adcps_jln_minute,D00006,2015-10-16T19:30:00Z,2016-04-03T14:00:00Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-06-08T00:00:00Z
