Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#
vel3d_k_eastward_velocity,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,large percent of data exceeded global range of +or- 3 m/s,SUSPECT,
vel3d_k_northward_velocity,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,large percent of data exceeded global range of +or- 3 m/s,SUSPECT,
vel3d_k_upward_velocity,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,large percent of data exceeded global range of +or- 1 m/s,SUSPECT,
vel3d_k_eastward_velocity,D00002,2014-04-12T21:00:02Z,2014-04-17T06:00:02Z,spiky data,SUSPECT,
vel3d_k_northward_velocity,D00002,2014-04-12T21:00:02Z,2014-04-17T06:00:02Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00002,2014-04-12T21:00:02Z,2014-04-17T06:00:02Z,spiky data,SUSPECT,
vel3d_k_eastward_velocity,D00002,2014-04-17T06:00:02Z,2014-09-29T18:06:45Z,change in data pattern: sharp increase in velocities to values as great as +or- 40 m/s,FAIL,
vel3d_k_northward_velocity,D00002,2014-04-17T06:00:02Z,2014-09-29T18:06:45Z,change in data pattern: sharp increase in velocities to values as great as +or- 40 m/s,FAIL,
vel3d_k_upward_velocity,D00002,2014-04-17T06:00:02Z,2014-09-29T18:06:45Z,change in data pattern: sharp increase in velocities to values as great as +or- 40 m/s,FAIL,
vel3d_k_wfp_instrument,D00002,2014-09-29T18:06:45Z,2014-10-09T00:00:00Z,Possible causes: istrument damaged or instrument at fault and stopped sending data.,NOT_AVAILABLE,
vel3d_k_wfp_instrument,D00003,2014-10-09T22:00:03Z,2014-12-14T00:00:00Z,Correct format od the data not available (*.DAT files missing),NOT_AVAILABLE,
vel3d_k_northward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T12:07:39Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T12:07:39Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T12:07:39Z,large percent of data exceeded global range of +or- 3 m/s,FAIL,
vel3d_k_wfp_instrument,D00008,2016-10-04T18:00:03Z,2017-02-19T00:00:00Z,Missing from raw data repo,NOT_AVAILABLE,
