Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument_recovered-ctdpf_ckl_seawater_pressure,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_version,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_version,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_mag_z,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,Leila,2017-05-17T00:00:00Z
vel3d_k_mag_z,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_error,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_error,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_cell_size,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_cell_size,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_configuration,D00001,2013-11-24T01:30:03Z,2014-04-11T22:37:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
