Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,expected,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_heading,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_heading,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_temp_c,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_temp_c,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_eastward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = -3.0 global_max = 3.0,Leila,2017-05-17T00:00:00Z
vel3d_k_eastward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
vel3d_k_eastward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
vel3d_k_v_scale,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_v_scale,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_vel2,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_vel2,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_vel0,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_vel0,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_vel1,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_vel1,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_northward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = -3.0 global_max = 3.0,Leila,2017-05-17T00:00:00Z
vel3d_k_northward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
vel3d_k_northward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
vel3d_k_amp2,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_amp2,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_amp1,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_amp1,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_amp0,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_amp0,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_beams,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_beams,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_pitch,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_pitch,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_data_set_description,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_data_set_description,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
vel3d_k_upward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,extracted from 1st file of 1 files,Global Range Values,,global min = -1.0 global_max = 1.0,Leila,2017-05-17T00:00:00Z
vel3d_k_upward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
