Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
vel3d_k_heading,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_heading,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_temp_c,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_eastward_velocity,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_eastward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_v_scale,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_vel2,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_vel2,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_vel0,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_vel0,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_vel1,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_vel1,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_northward_velocity,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_northward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_amp2,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_amp1,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_amp0,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_beams,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_beams,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_pitch,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_pitch,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_data_set_description,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_data_set_description,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_upward_velocity,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_upward_velocity,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_roll,,,,,,,,Leila,2017-05-17T00:00:00Z
vel3d_k_roll,D00002,2014-04-12T18:00:03Z,2014-08-08T00:06:38Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_heading,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_vel2,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
vel3d_k_vel0,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,applies to one file,FAILED,,tested fill_test: True,Leila,2017-05-17T00:00:00Z
