Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00002,2014-04-12T18:00:03Z,2014-08-08T00:00:02Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00002,2014-04-12T18:00:03Z,2014-08-08T00:00:02Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00002,2014-04-12T18:00:03Z,2014-08-08T00:00:02Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00003,2014-10-09T22:00:03Z,2014-10-20T10:30:02Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00003,2014-10-09T22:00:03Z,2014-10-20T10:30:02Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00003,2014-10-09T22:00:03Z,2014-10-20T10:30:02Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00005,2015-05-03T15:00:03Z,2015-10-16T10:30:02Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00005,2015-05-03T15:00:03Z,2015-10-16T10:30:02Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00005,2015-05-03T15:00:03Z,2015-10-16T10:30:02Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00006,2015-10-16T22:00:03Z,2016-04-03T13:30:02Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00006,2015-10-16T22:00:03Z,2016-04-03T13:30:02Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00006,2015-10-16T22:00:03Z,2016-04-03T13:30:02Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00007,2016-05-22T00:00:03Z,2016-10-04T13:30:01Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00007,2016-05-22T00:00:03Z,2016-10-04T13:30:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00007,2016-05-22T00:00:03Z,2016-10-04T13:30:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument-ctdpf_ckl_seawater_pressure,D00008,2016-10-04T18:00:03Z,2017-02-13T16:30:02Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00008,2016-10-04T18:00:03Z,2017-02-13T16:30:02Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,Leila,2017-05-17T00:00:00Z
vel3d_k_number_of_records,D00008,2016-10-04T18:00:03Z,2017-02-13T16:30:02Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
