Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#
vel3d_k_wfp_stc_instrument,D00001,2013-12-10T00:00:00Z,2014-04-11T22:37:56Z,Surface mooring went adrift,NOT_AVAILABLE,9445
vel3d_k_beams,D00002,2014-04-12T18:00:03Z,2014-07-21T10:36:46Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00002,2014-04-12T18:00:03Z,2014-07-21T10:36:46Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_northward_velocity,D00002,2014-04-12T18:00:03Z,2014-07-21T10:36:46Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_upward_velocity,D00002,2014-04-12T18:00:03Z,2014-07-21T10:36:46Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_wfp_stc_instrument,D00002,2014-07-21T10:36:46Z,2014-07-31T04:30:02Z,MMP failed- the list of files got too long for the inductuve moden run out of time to search and send out the last data file.,NOT_AVAILABLE,
vel3d_k_beams,D00002,2014-07-31T04:30:02Z,2014-08-08T00:06:38Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00002,2014-07-31T04:30:02Z,2014-08-08T00:06:38Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_northward_velocity,D00002,2014-07-31T04:30:02Z,2014-08-08T00:06:38Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_upward_velocity,D00002,2014-07-31T04:30:02Z,2014-08-08T00:06:38Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,spiky data,SUSPECT,
vel3d_k_northward_velocity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00003,2014-10-09T22:00:03Z,2014-10-20T10:36:16Z,spiky data,SUSPECT,
vel3d_k_wfp_stc_instrument,D00003,2014-10-20T10:36:16Z,2014-12-14T00:00:00Z,Surface buoy broke free,NOT_AVAILABLE,
vel3d_k_eastward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T10:36:19Z,spiky data,SUSPECT,
vel3d_k_northward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T10:36:19Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00005,2015-05-03T15:00:03Z,2015-10-16T10:36:19Z,spiky data,SUSPECT,
vel3d_k_eastward_velocity,D00006,2015-10-16T22:00:03Z,2016-04-03T13:40:21Z,spiky data,SUSPECT,
vel3d_k_northward_velocity,D00006,2015-10-16T22:00:03Z,2016-04-03T13:40:21Z,spiky data,SUSPECT,
vel3d_k_upward_velocity,D00006,2015-10-16T22:00:03Z,2016-04-03T13:40:21Z,spiky data,SUSPECT,
vel3d_k_wfp_stc_instrument,D00006,2016-04-03T13:40:21Z,2016-05-21T12:00:00Z,Surface buoy broke free,NOT_AVAILABLE,
vel3d_k_beams,D00007,2016-05-22T00:00:03Z,2016-10-04T13:37:11Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00007,2016-05-22T00:00:03Z,2016-10-04T13:37:11Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_northward_velocity,D00007,2016-05-22T00:00:03Z,2016-10-04T13:37:11Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_upward_velocity,D00007,2016-05-22T00:00:03Z,2016-10-04T13:37:11Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_beams,D00008,2016-10-04T18:00:03Z,2017-01-19T10:35:42Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00008,2016-10-04T18:00:03Z,2017-01-19T10:35:42Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_northward_velocity,D00008,2016-10-04T18:00:03Z,2017-01-19T10:35:42Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_upward_velocity,D00008,2016-10-04T18:00:03Z,2017-01-19T10:35:42Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_wfp_stc_instrument,D00008,2017-01-19T10:35:42Z,2017-01-24T21:00:02Z,The data are in the raw data repo: need to purge and reingest to investigate the missing data,PENDING_INGEST,
vel3d_k_beams,D00008,2017-01-24T21:00:02Z,2017-02-13T16:34:28Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_eastward_velocity,D00008,2017-01-24T21:00:02Z,2017-02-13T16:34:28Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_northward_velocity,D00008,2017-01-24T21:00:02Z,2017-02-13T16:34:28Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_upward_velocity,D00008,2017-01-24T21:00:02Z,2017-02-13T16:34:28Z,number of beams should be 3 not 0: instrument setting under investigation,FAIL,
vel3d_k_wfp_stc_instrument,D00008,2017-02-13T16:34:28Z,2017-02-19T00:00:00Z,Surface buoy went adrift ,NOT_AVAILABLE,
