Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument_recovered-ctdpf_ckl_seawater_pressure,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
par_val_v,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
parad_k_par,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 2500.0,Leila,2017-05-17T00:00:00Z
parad_k_par,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00001,2013-11-24T01:32:04Z,2014-04-11T22:35:49Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered-ctdpf_ckl_seawater_pressure,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
par_val_v,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
parad_k_par,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 2500.0,Leila,2017-05-17T00:00:00Z
parad_k_par,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00002,2014-04-12T18:02:04Z,2014-10-08T22:34:56Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered-ctdpf_ckl_seawater_pressure,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
par_val_v,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
parad_k_par,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 2500.0,Leila,2017-05-17T00:00:00Z
parad_k_par,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00003,2014-10-09T22:02:03Z,2014-10-20T10:34:12Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument_recovered-ctdpf_ckl_seawater_pressure,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,,vars_not_in_db,,check: variable listed in file but not in database,Leila,2017-05-17T00:00:00Z
par_val_v,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,Leila,2017-05-17T00:00:00Z
parad_k_par,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 2500.0,Leila,2017-05-17T00:00:00Z
parad_k_par,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,applies to one file,Global Range QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,applies to one file,Spike QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
parad_k_par,D00005,2015-05-03T15:02:04Z,2015-10-16T12:05:50Z,applies to one file,Stuck Value QC Test,,check: test triggered,Leila,2017-05-17T00:00:00Z
