Level,Deployment,StartTime,EndTime,Notes,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdpf_ckl_wfp_instrument,D00002,2014-04-12T16:42:00Z,2014-04-12T18:02:04Z,0 days 01:20:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00002,2014-04-12T16:42:00Z,2014-04-12T18:02:04Z,0 days 01:20:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00003,2014-10-09T18:26:00Z,2014-10-09T22:02:03Z,0 days 03:36:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00003,2014-10-09T18:26:00Z,2014-10-09T22:02:03Z,0 days 03:36:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00005,2015-05-03T13:45:00Z,2015-05-03T15:02:04Z,0 days 01:17:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00005,2015-10-16T10:34:29Z,2015-10-16T12:36:00Z,0 days 02:01:31,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00005,2015-05-03T13:45:00Z,2015-05-03T15:02:04Z,0 days 01:17:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00005,2015-10-16T10:34:29Z,2015-10-16T12:36:00Z,0 days 02:01:31,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00006,2015-10-16T19:01:00Z,2015-10-16T22:02:04Z,0 days 03:01:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00006,2015-10-16T19:01:00Z,2015-10-16T22:02:04Z,0 days 03:01:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00007,2016-05-21T16:52:00Z,2016-05-22T00:02:03Z,0 days 07:10:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00007,2016-10-04T13:35:22Z,2016-10-04T14:49:00Z,0 days 01:13:38,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00007,2016-05-21T16:52:00Z,2016-05-22T00:02:03Z,0 days 07:10:03,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00007,2016-10-04T13:35:22Z,2016-10-04T14:49:00Z,0 days 01:13:38,,,check: difference between deploy end date and data file end date,Leila,2017-05-17T00:00:00Z
ctdpf_ckl_wfp_instrument,D00008,2016-10-04T13:55:00Z,2016-10-04T18:02:04Z,0 days 04:07:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
parad_k__stc_imodem_instrument,D00008,2016-10-04T13:55:00Z,2016-10-04T18:02:04Z,0 days 04:07:04,,,check: difference between deploy start date and data file start date,Leila,2017-05-17T00:00:00Z
