Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-06-08T00:00:00Z
temp,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
pressure,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-06-08T00:00:00Z
pressure,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
density,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-06-08T00:00:00Z
density,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
conductivity,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich,2017-06-08T00:00:00Z
conductivity,D00001,2014-12-12T22:05:05Z,2014-12-12T23:05:05Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
