Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-06-08T00:00:00Z
temp,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
pressure,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-06-08T00:00:00Z
pressure,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
density,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-06-08T00:00:00Z
density,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Global Range QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
density,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
conductivity,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich,2017-06-08T00:00:00Z
conductivity,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
temp,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-06-08T00:00:00Z
temp,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
density,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-06-08T00:00:00Z
density,D00003,2015-10-22T20:02:08Z,2016-02-07T20:02:08Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
