Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_cdef_dcl_instrument,D00002,2015-05-09T19:05:06Z,2015-05-11T11:05:06Z,"""Spike in data at beginning of record, presumably recorded in transit to depth.""",AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00002,2015-05-11T11:05:06Z,2015-10-23T00:00:00Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - difference between data end and deployment end date is: 164 days 12:54:54,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-10-22T20:02:08Z,2015-10-26T13:02:07Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-10-26T13:02:07Z,2015-10-27T14:02:07Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 01:00:00,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-10-27T14:02:07Z,2015-11-30T17:02:09Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-11-30T17:02:09Z,2015-12-02T00:02:09Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 07:00:00,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-02T00:02:09Z,2015-12-10T00:02:07Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-10T00:02:07Z,2015-12-15T18:02:06Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 5 days 17:59:59,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-15T18:02:06Z,2015-12-16T14:02:08Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-16T14:02:08Z,2015-12-17T19:02:06Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 04:59:58,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-17T19:02:06Z,2015-12-19T12:02:08Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-19T12:02:08Z,2015-12-21T13:02:07Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 2 days 00:59:59,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-12-21T13:02:07Z,2016-01-05T01:02:07Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-05T01:02:07Z,2016-01-07T16:02:06Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 2 days 14:59:59,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-07T16:02:06Z,2016-01-08T21:02:07Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-08T21:02:07Z,2016-01-12T01:02:08Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 3 days 04:00:01,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-12T01:02:08Z,2016-01-13T01:02:07Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-13T01:02:07Z,2016-01-14T01:02:08Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 00:00:01,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-14T01:02:08Z,2016-01-14T01:02:08Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-14T01:02:08Z,2016-01-15T22:02:09Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 21:00:01,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-01-15T22:02:09Z,2016-02-07T20:02:08Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-02-07T20:02:08Z,2016-05-13T17:18:00Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - difference between data end and deployment end date is: 95 days 21:15:52,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-05-27T20:02:09Z,2016-06-13T12:02:10Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-06-13T12:02:10Z,2016-06-14T16:02:09Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 03:59:59,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-06-14T16:02:09Z,2016-06-16T12:02:09Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-06-16T12:02:09Z,2016-06-17T13:02:10Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 01:00:01,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-06-17T13:02:10Z,2016-07-08T05:02:08Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-07-08T05:02:08Z,2016-07-09T16:02:10Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - data gap: 1 days 11:00:02,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-07-09T16:02:10Z,2016-08-30T20:02:10Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00004,2016-08-30T20:02:10Z,2016-10-12T17:12:00Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available - difference between data end and deployment end date is: 42 days 21:09:50,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-10-12T15:00:12Z,2016-10-16T17:00:12Z,,AVAILABLE,,,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00005,2016-10-16T17:00:12Z,2016-10-16T17:00:12Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available. Data check done before deployment ended.,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00006,2017-06-06T14:51:00,2017-06-08T00:00:00Z,,NOT_AVAILABLE,,Need to check against operations log and ingest raw data if available. Data check done before deployment ended.,friedrich,2017-06-08T00:00:00Z
,,,,,,,,,
