Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-06-08T00:00:00Z
pressure,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich,2017-06-08T00:00:00Z
density,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich,2017-06-08T00:00:00Z
density,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
density,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,applies to one file,Spike QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
conductivity,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich,2017-06-08T00:00:00Z
conductivity,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,applies to one file,Stuck Value QC Test,,check: test triggered,friedrich,2017-06-08T00:00:00Z
temp,D00002,2015-05-09T15:30:22Z,2015-10-22T06:03:13Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich,2017-06-08T00:00:00Z
