Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
temp,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
temp,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
temp,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
temp,D00003,2016-03-25T13:45:22Z,2016-03-29T12:03:14Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
pressure,D00003,2016-03-25T13:45:22Z,2016-03-29T12:03:14Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
density,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
density,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
density,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
density,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
density,D00003,2016-03-25T13:45:22Z,2016-03-29T12:03:14Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
practical_salinity,D00003,2016-03-25T13:45:22Z,2016-03-29T12:03:14Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
conductivity,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
conductivity,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
conductivity,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
conductivity,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
conductivity,D00003,2016-03-25T13:45:22Z,2016-03-29T12:03:14Z,Pressure values above seaf surface,SUSPECT,,,friedrich,2017-06-08T00:00:00Z
