Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_cdef_dcl_instrument,D00001,2014-12-12T21:47:03Z,2015-05-09T23:48:10Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00002,2015-05-09T15:30:22Z,2015-10-22T06:03:13Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2015-10-22T19:38:00Z,2016-02-22T10:30:21Z,,NOT_AVAILABLE,,check: difference between data begin and deployment begin date is: 122 days 14:52:21,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-02-22T10:30:21Z,2016-02-22T12:33:12Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-02-22T12:33:12Z,2016-02-29T14:30:23Z,,NOT_AVAILABLE,,check: data gap: 7 days 01:57:11,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-02-29T14:30:23Z,2016-03-02T20:45:53Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-03-02T20:45:53Z,2016-03-04T14:00:23Z,,NOT_AVAILABLE,,check: data gap: 1 days 17:14:30,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-03-04T14:00:23Z,2016-03-04T19:33:13Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-03-04T19:33:13Z,2016-03-07T19:45:35Z,,NOT_AVAILABLE,,check: data gap: 3 days 00:12:22,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-03-07T19:45:35Z,2016-03-09T18:47:11Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-06-08T00:00:00Z
ctdbp_cdef_dcl_instrument,D00003,2016-03-09T18:47:11Z,2016-03-25T13:45:22Z,,NOT_AVAILABLE,,check: data gap: 15 days 18:58:11,friedrich,2017-06-08T00:00:00Z
