Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdgv_m_glider_instrument_recovered,D00001,2014-10-06T23:51:22Z,2014-10-15T00:00:00Z,,AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2014-10-15T00:00:00Z,2014-12-12T23:09:55Z,CTD has been turned off,NOT_AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00003,2015-10-13T00:33:16Z,2015-12-01T21:07:23Z,,AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00003,2015-12-01T21:07:23Z,2015-12-08T00:00:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 6 days 02:52:37,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00004,2016-01-21T13:31:32Z,2016-01-26T19:29:38Z,,AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00004,2016-01-26T19:29:38Z,2016-01-28T15:37:15Z,,NOT_AVAILABLE,,check: data gap,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00004,2016-01-28T15:37:15Z,2016-01-28T22:14:39Z,,AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00004,2016-01-28T22:14:39Z,2016-02-02T00:00:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 4 days 01:45:21,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00005,2016-05-27T20:50:00Z,2016-08-09T00:00:00Z,,PENDING_INGEST,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00006,2016-05-27T20:50:01Z,2017-04-19T00:00:00Z,Awaiting data upload to Ci server,NOT_AVAILABLE,,,Leila,2017-05-10T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00007,2016-05-27T20:50:02Z,2016-05-27T20:50:02Z,Awaiting data upload to Ci server,NOT_AVAILABLE,,,Leila,2017-05-10T00:00:00Z
