Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
CP05MOAS,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL388,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL388-03-CTDGVM000,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL336,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL336-03-CTDGVM000,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL339,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL339-03-CTDGVM000,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL376,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL376-03-CTDGVM000,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL387,,,,,,,,Leila,2017-05-10T00:00:00Z
CP05MOAS-GL387-03-CTDGVM000,,,,,,,,Leila,2017-05-10T00:00:00Z
