Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdbp_seawater_conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
ctdbp_seawater_conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
ctdbp_seawater_pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,
pressure_temp,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdbp_seawater_temperature,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:00:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,
practical_salinity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdbp_seawater_conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
ctdbp_seawater_conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Spike QC Test,,check: test triggered,lori,
ctdbp_seawater_conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
ctdbp_seawater_pressure,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Global Range QC Test,,check: test triggered,lori,
pressure_temp,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdbp_seawater_temperature,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
ctdbp_seawater_temperature,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Spike QC Test,,check: test triggered,lori,
conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Global Range QC Test,,check: test triggered,lori,
conductivity,D00002,2015-11-14T21:06:04Z,2016-11-08T10:09:53Z,applies to one file,Spike QC Test,,check: test triggered,lori,
