Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temp,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
temp,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
density,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
conductivity,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00001,2015-03-15T21:30:05Z,2015-11-25T03:00:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
practical_salinity,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temp,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
temp,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,applies to one file,Spike QC Test,,check: test triggered,lori,
density,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
conductivity,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,applies to one file,Spike QC Test,,check: test triggered,lori,
conductivity,D00002,2015-11-14T21:06:08Z,2016-11-08T00:08:11Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
practical_salinity,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temp,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
density,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
conductivity,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00003,2016-10-27T02:00:09Z,2017-01-05T00:00:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
