Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_p_dcl_instrument_recovered,D00002,2015-11-14T21:06:00Z,2015-11-21T05:23:21Z,,NOT_AVAILABLE,,check: difference between data begin and deployment begin date is: 6 days 08:17:21,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2015-11-21T05:23:21Z,2015-12-04T08:23:21Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2015-12-04T08:23:21Z,2015-12-14T00:23:21Z,,NOT_AVAILABLE,,check: data gap: 9 days 16:00:00,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2015-12-14T00:23:21Z,2016-01-06T21:23:21Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-01-06T21:23:21Z,2016-01-11T16:23:21Z,,NOT_AVAILABLE,,check: data gap: 4 days 19:00:00,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-01-11T16:23:21Z,2016-02-05T03:23:21Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-02-05T03:23:21Z,2016-02-10T22:23:21Z,,NOT_AVAILABLE,,check: data gap: 5 days 19:00:00,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-02-10T22:23:21Z,2016-03-11T21:23:21Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-03-11T21:23:21Z,2016-03-14T16:23:21Z,,NOT_AVAILABLE,,check: data gap: 2 days 19:00:00,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-03-14T16:23:21Z,2016-04-28T17:23:21Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument_recovered,D00002,2016-04-28T17:23:21Z,2016-11-08T10:10:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 193 days 16:46:39,lori,
