Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temp,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
temp,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
density,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
conductivity,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
conductivity,D00002,2015-11-14T22:00:03Z,2016-06-04T04:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
practical_salinity,D00003,2016-10-27T02:43:39Z,2017-04-25T13:43:39Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temp,D00003,2016-10-27T02:43:39Z,2017-04-25T13:43:39Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
density,D00003,2016-10-27T02:43:39Z,2017-04-25T13:43:39Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00003,2016-10-27T02:43:39Z,2017-04-25T13:43:39Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
conductivity,D00003,2016-10-27T02:43:39Z,2017-04-25T13:43:39Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
