Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_p_dcl_instrument,D00002,2015-11-14T22:00:03Z,2015-12-04T09:00:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00002,2015-12-04T09:00:03Z,2015-12-14T01:00:03Z,,NOT_AVAILABLE,,check: data gap: 9 days 16:00:00,lori,
ctdbp_p_dcl_instrument,D00002,2015-12-14T01:00:03Z,2016-01-06T22:00:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00002,2016-01-06T22:00:03Z,2016-01-11T16:00:03Z,,NOT_AVAILABLE,,check: data gap: 4 days 18:00:00,lori,
ctdbp_p_dcl_instrument,D00002,2016-01-11T16:00:03Z,2016-02-05T03:00:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00002,2016-02-05T03:00:03Z,2016-02-10T22:00:03Z,,NOT_AVAILABLE,,check: data gap: 5 days 19:00:00,lori,
ctdbp_p_dcl_instrument,D00002,2016-02-10T22:00:03Z,2016-03-11T22:00:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00002,2016-03-11T22:00:03Z,2016-03-14T16:00:03Z,,NOT_AVAILABLE,,check: data gap: 2 days 18:00:00,lori,
ctdbp_p_dcl_instrument,D00002,2016-03-14T16:00:03Z,2016-06-04T04:00:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00002,2016-06-04T04:00:03Z,2016-11-08T10:10:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 157 days 06:09:57,lori,
ctdbp_p_dcl_instrument,D00003,2016-10-27T02:43:39Z,2017-03-23T19:43:39Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdbp_p_dcl_instrument,D00003,2017-03-23T19:43:39Z,2017-04-04T20:43:39Z,,NOT_AVAILABLE,,check: data gap,lori,
ctdbp_p_dcl_instrument,D00003,2017-04-04T20:43:39Z,2017-04-25T13:43:39Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
