Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00002,2016-01-30T00:00:00Z,2016-01-31T23:59:00Z,Sharp drops in salinity and density.,SUSPECT,,,lori,2017-04-19T00:00:00Z
practical_salinity,D00002,2016-02-10T00:00:00Z,2016-02-11T00:00:00Z,"Drop in conductivity, with corresponding drops in salinity and density.",SUSPECT,,,lori,2017-04-19T00:00:00Z
temperature,,,,,,,,lori,2017-04-19T00:00:00Z
density,D00002,2016-01-30T00:00:00Z,2016-01-31T23:59:00Z,Sharp drops in salinity and density.,SUSPECT,,,lori,2017-04-19T00:00:00Z
density,D00002,2016-02-10T00:00:00Z,2016-02-11T00:00:00Z,"Drop in conductivity, with corresponding drops in salinity and density.",SUSPECT,,,lori,2017-04-19T00:00:00Z
ctdmo_seawater_temperature,,,,,,,,lori,2017-04-19T00:00:00Z
pressure_temp,,,,,,,,lori,2017-04-19T00:00:00Z
ctdmo_seawater_pressure,,,,,,,,lori,2017-04-19T00:00:00Z
pressure,,,,,,,,lori,2017-04-19T00:00:00Z
ctdmo_seawater_conductivity,D00002,2016-02-10T00:00:00Z,2016-02-10T23:59:00Z,"Drop in conductivity, with corresponding drops in salinity and density.",SUSPECT,,,lori,2017-04-19T00:00:00Z
conductivity,,,,,,,,lori,2017-04-19T00:00:00Z
