Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-03-15T21:30:01Z,2015-10-08T23:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-10-08T23:07:31Z,2015-10-31T05:15:01Z,,NOT_AVAILABLE,,check: data gap,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-10-31T05:15:01Z,2015-11-26T10:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-15T07:15:02Z,2015-11-16T03:15:03Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-16T03:15:03Z,2015-11-17T20:15:03Z,,NOT_AVAILABLE,,check: data gap: 1 days 17:00:00,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-17T20:15:03Z,2015-11-19T11:15:04Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-19T11:15:04Z,2015-11-26T17:15:01Z,,NOT_AVAILABLE,,check: data gap: 7 days 05:59:57,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-26T17:15:01Z,2015-12-04T09:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-12-04T09:15:01Z,2015-12-12T18:00:01Z,,NOT_AVAILABLE,,check: data gap: 8 days 08:45:00,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-12-12T18:00:01Z,2016-01-06T22:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-01-06T22:15:01Z,2016-01-10T09:07:31Z,,NOT_AVAILABLE,,check: data gap: 3 days 10:52:30,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-01-10T09:07:31Z,2016-02-05T03:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-02-05T03:15:01Z,2016-02-09T15:07:31Z,,NOT_AVAILABLE,,check: data gap: 4 days 11:52:30,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-02-09T15:07:31Z,2016-03-11T22:15:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-03-11T22:15:01Z,2016-03-13T09:07:31Z,,NOT_AVAILABLE,,check: data gap: 1 days 10:52:30,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-03-13T09:07:31Z,2016-06-28T13:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-06-28T13:07:31Z,2016-07-04T06:22:31Z,,NOT_AVAILABLE,,check: data gap: 5 days 17:15:00,lori,
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-07-04T06:22:31Z,2016-11-08T10:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,
