Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_temperature,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure_temp,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
inductive_id,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: 0.0,lori,
inductive_id,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,
ctdmo_seawater_pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
pressure,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
conductivity,D00001,2015-03-15T21:30:01Z,2015-11-26T10:07:31Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
