Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_temperature,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
ctdmo_seawater_pressure,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,
ctdmo_seawater_pressure,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_conductivity,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
ctdmo_seawater_conductivity,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
conductivity,D00001,2015-03-15T21:27:39Z,2015-11-26T10:05:09Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
practical_salinity,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_temperature,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
ctdmo_seawater_pressure,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,
ctdmo_seawater_pressure,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_conductivity,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
ctdmo_seawater_conductivity,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
conductivity,D00002,2015-11-14T21:07:31Z,2016-11-08T09:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
practical_salinity,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
temperature,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
density,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_temperature,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,
ctdmo_seawater_pressure,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Fill Value,,tested: -9999999.0 found: -9999.0,lori,
ctdmo_seawater_pressure,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,
pressure,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
ctdmo_seawater_conductivity,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,
ctdmo_seawater_conductivity,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,
conductivity,D00003,2016-10-27T01:52:00Z,2017-04-25T11:07:00Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,
