Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-03-15T21:27:39Z,2015-10-08T23:12:39Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-10-08T23:12:39Z,2015-10-31T06:05:09Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00001,2015-10-31T06:05:09Z,2015-11-26T10:05:09Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-11-14T21:07:31Z,2015-12-04T09:15:01Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-12-04T09:15:01Z,2015-12-12T18:07:31Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2015-12-12T18:07:31Z,2016-01-06T22:15:01Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-01-06T22:15:01Z,2016-01-10T09:15:01Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-01-10T09:15:01Z,2016-02-05T03:22:31Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-02-05T03:22:31Z,2016-02-09T15:15:01Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-02-09T15:15:01Z,2016-03-11T22:15:01Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-03-11T22:15:01Z,2016-03-13T09:15:01Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-03-13T09:15:01Z,2016-06-28T13:15:01Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-06-28T13:15:01Z,2016-07-04T07:15:01Z,,NOT_AVAILABLE,,,lori,2017-04-25T00:00:00Z
ctdmo_ghqr_imodem_instrument_recovered,D00002,2016-07-04T07:15:01Z,2016-11-08T09:15:01Z,,AVAILABLE,,,lori,2017-04-25T00:00:00Z
