Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
GA01SUMO,,,,,,,,lori,2017-04-13T00:00:00Z
GA01SUMO-RID16,,,,,,,,lori,2017-04-13T00:00:00Z
GA01SUMO-RID16-03-CTDBPF000,,,,,,,,lori,2017-04-13T00:00:00Z
GA01SUMO-RII11,,,,,,,,lori,2017-04-17T00:00:00Z
GA01SUMO-RII11-02-CTDBPP031,D00002,2016-04-28T17:23:21Z,2016-11-08T10:10:00Z,Instrument failed. No data available for the remainder of the deployment.,NOT_AVAILABLE,"11178, 12238",Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-17T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ011,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-17T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ012,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-17T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ013,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-19T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ014,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-19T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ015,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-19T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ016,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-20T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ017,,,,,,12238,Uframe is filtering out valid deployment data. Check when fix is implemented,lori,2017-04-20T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ031,,,,,,,,lori,2017-04-21T00:00:00Z
GA01SUMO-RII11-02-CTDMOQ033,,,,,,,,lori,2017-04-21T00:00:00Z
