Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_sio_mule_instrument,D00001,2015-03-21T04:00:01Z,2015-06-20T08:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-06-20T08:00:01Z,2015-06-21T12:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 04:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-06-21T12:00:01Z,2015-06-22T16:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-06-22T16:00:01Z,2015-06-24T00:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 08:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-06-24T00:00:01Z,2015-06-28T20:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-06-28T20:00:01Z,2015-07-01T00:00:01Z,,NOT_AVAILABLE,,check: data gap: 2 days 04:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-01T00:00:01Z,2015-07-01T20:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-01T20:00:01Z,2015-07-03T08:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 12:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-03T08:00:01Z,2015-07-04T08:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-04T08:00:01Z,2015-07-06T04:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 20:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-06T04:00:01Z,2015-07-06T04:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-06T04:00:01Z,2015-07-10T12:00:01Z,,NOT_AVAILABLE,,check: data gap: 4 days 08:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-10T12:00:01Z,2015-07-12T08:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-12T08:00:01Z,2015-07-13T16:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 08:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-13T16:00:01Z,2015-07-15T00:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00001,2015-07-15T00:00:01Z,2015-11-18T11:20:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 126 days 11:19:59,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-11-22T00:00:01Z,2015-11-24T12:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-11-24T12:00:01Z,2015-11-26T00:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 12:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-11-26T00:00:01Z,2015-12-02T20:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-12-02T20:00:01Z,2015-12-04T08:00:01Z,,NOT_AVAILABLE,,check: data gap: 1 days 12:00:00,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-12-04T08:00:01Z,2015-12-08T00:00:01Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-17T00:00:00Z
ctdmo_ghqr_sio_mule_instrument,D00002,2015-12-08T00:00:01Z,2016-11-01T10:10:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 329 days 10:09:59,lori,2017-08-17T00:00:00Z
