Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_p_dcl_instrument,D00002,2015-08-15T20:00:03Z,2015-11-13T21:00:03Z,,AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2015-11-13T21:00:03Z,2015-11-20T19:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2015-11-20T19:00:03Z,2015-11-22T23:00:03Z,,AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2015-11-22T23:00:03Z,2015-12-07T16:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2015-12-07T16:00:03Z,2016-03-01T20:00:03Z,,AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2016-03-01T20:00:03Z,2016-04-13T19:00:03Z,,NOT_AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2016-04-13T19:00:03Z,2016-04-13T23:00:03Z,,AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00002,2016-04-13T23:00:03Z,2016-07-19T00:00:00Z,,NOT_AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00003,2016-07-10T18:02:41Z,2016-11-27T16:02:41Z,,AVAILABLE,,,lori,2017-05-03T00:00:00Z
ctdbp_p_dcl_instrument,D00003,2016-11-27T16:02:41Z,2017-05-03T00:00:00Z,Evidence of ice build-up on the buoy: no telemetered data. See platform-level annotation for details.,NOT_AVAILABLE,,Update as deployment progresses,lori,2017-05-03T00:00:00Z
