Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-04T00:00:00Z
temp,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-05-04T00:00:00Z
temp,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-04T00:00:00Z
density,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-04T00:00:00Z
pressure,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-05-04T00:00:00Z
pressure,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-05-04T00:00:00Z
pressure,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-04T00:00:00Z
conductivity,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-05-04T00:00:00Z
conductivity,D00002,2015-08-15T20:00:03Z,2016-06-17T00:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-04T00:00:00Z
practical_salinity,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-04T00:00:00Z
temp,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-05-04T00:00:00Z
density,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-05-04T00:00:00Z
pressure,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-05-04T00:00:00Z
conductivity,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-05-04T00:00:00Z
conductivity,D00003,2016-07-10T18:00:03Z,2017-04-09T13:00:03Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-05-04T00:00:00Z
