Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_sio_offset,D00001,2014-09-16T13:24:00Z,2014-09-17T20:07:19Z,,NOT_AVAILABLE,,check: difference between data begin and deployment begin date is: 1 days 06:43:19,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2014-09-17T20:07:19Z,2014-11-09T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2014-11-09T20:07:19Z,2014-11-10T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2014-11-10T20:07:20Z,2015-01-16T20:07:20Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2015-01-16T20:07:20Z,2015-01-18T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 2 days 00:00:00,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2015-01-18T20:07:20Z,2015-01-24T20:07:20Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2015-01-24T20:07:20Z,2015-01-26T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 2 days 00:00:00,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2015-01-26T20:07:20Z,2015-02-02T20:07:20Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00001,2015-02-02T20:07:20Z,2015-08-20T12:56:00Z,,NOT_AVAILABLE,,check: difference between data end and deployment end date is: 198 days 16:48:40,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-21T20:07:19Z,2015-08-25T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-25T20:07:19Z,2015-08-26T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-26T20:07:20Z,2015-08-27T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-27T20:07:19Z,2015-08-28T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-28T20:07:20Z,2015-08-29T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-29T20:07:19Z,2015-08-30T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-30T20:07:20Z,2015-08-31T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-08-31T20:07:19Z,2015-09-01T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-09-01T20:07:20Z,2015-09-02T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-09-02T20:07:19Z,2015-09-03T20:07:20Z,,NOT_AVAILABLE,,check: data gap: 1 days 00:00:01,michaesm,2017-05-16T00:00:00Z
ctdmo_ghqr_sio_offset,D00002,2015-09-03T20:07:20Z,2015-11-10T20:07:19Z,,NOT_EVALUATED,,check: evaluate parameters,michaesm,2017-05-16T00:00:00Z
