Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
temperature,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
ctdmo_seawater_temperature,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
pressure_temp,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
density,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
practical_salinity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
ctdmo_seawater_pressure,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
conductivity,D00002,2014-06-17T06:00:01Z,2015-06-04T23:45:01Z,A file for the incorrect CTD is ingested for this instrument. Data need to be purged and re-ingested.,FAIL,,check when data are re-ingested,lori,2017-08-02T00:00:00Z
ctdmo_seawater_conductivity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,Values are different between telemetered and recovered data: investigation pending,SUSPECT,12533,MIO to check cal coefficients,lori,2017-08-02T00:00:00Z
practical_salinity,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,Values are different between telemetered and recovered data: investigation pending,SUSPECT,12533,MIO to check cal coefficients,lori,2017-08-02T00:00:00Z
density,D00003,2015-06-06T22:45:01Z,2016-06-28T19:00:01Z,Values are different between telemetered and recovered data: investigation pending,SUSPECT,12533,MIO to check cal coefficients,lori,2017-08-02T00:00:00Z
