Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
temperature,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_temperature,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
pressure_temp,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
density,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
practical_salinity,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
pressure,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_pressure,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_conductivity,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
conductivity,D00001,2013-07-24T06:45:01Z,2014-06-17T23:45:01Z,Files from three different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
temperature,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_temperature,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
pressure_temp,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
density,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
practical_salinity,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
pressure,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_pressure,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
ctdmo_seawater_conductivity,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
conductivity,D00003,2015-06-08T21:30:01Z,2016-07-03T18:30:01Z,Files from two different CTDs are ingested for this one CTD. Data need to be purged and re-ingested.,FAIL,12518,check when data are re-ingested,lori,2017-07-26T00:00:00Z
