Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdgv_m_glider_instrument,D00001,2014-06-15T05:34:09Z,2015-03-09T15:21:41Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-09T15:21:41Z,2015-03-13T15:03:11Z,,NOT_AVAILABLE,,check: data gap: 3 days 23:41:30,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-13T15:03:11Z,2015-03-17T16:04:02Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-17T16:04:02Z,2015-03-20T13:55:13Z,,NOT_AVAILABLE,,check: data gap: 2 days 21:51:11,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-20T13:55:13Z,2015-03-20T13:55:29Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-20T13:55:29Z,2015-03-23T13:06:06Z,,NOT_AVAILABLE,,check: data gap: 2 days 23:10:37,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-23T13:06:06Z,2015-03-23T13:06:23Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-23T13:06:23Z,2015-03-26T13:08:29Z,,NOT_AVAILABLE,,check: data gap: 3 days 00:02:06,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-26T13:08:29Z,2015-03-26T13:13:35Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-26T13:13:35Z,2015-03-29T18:30:46Z,,NOT_AVAILABLE,,check: data gap: 3 days 05:17:11,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-29T18:30:46Z,2015-03-29T18:31:03Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-03-29T18:31:03Z,2015-04-01T17:02:57Z,,NOT_AVAILABLE,,check: data gap: 2 days 22:31:54,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-04-01T17:02:57Z,2015-04-02T00:40:41Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-04-02T00:40:41Z,2015-04-24T13:58:23Z,,NOT_AVAILABLE,,check: data gap: 22 days 13:17:42,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-04-24T13:58:23Z,2015-04-27T15:55:57Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-04-27T15:55:57Z,2015-05-16T14:19:42Z,,NOT_AVAILABLE,,check: data gap: 18 days 22:23:45,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument,D00001,2015-05-16T14:19:42Z,2015-06-01T11:28:31Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
