Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdgv_m_glider_instrument_recovered,D00001,2013-07-20T05:41:29Z,2013-12-10T06:57:30Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-10T06:57:30Z,2013-12-13T12:26:44Z,,NOT_AVAILABLE,,check: data gap: 3 days 05:29:14,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-13T12:26:44Z,2013-12-14T00:32:32Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-14T00:32:32Z,2013-12-16T17:12:48Z,,NOT_AVAILABLE,,check: data gap: 2 days 16:40:16,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-16T17:12:48Z,2013-12-16T21:53:39Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-16T21:53:39Z,2013-12-20T15:18:31Z,,NOT_AVAILABLE,,check: data gap: 3 days 17:24:52,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-20T15:18:31Z,2013-12-20T23:03:39Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-20T23:03:39Z,2013-12-22T21:40:53Z,,NOT_AVAILABLE,,check: data gap: 1 days 22:37:14,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-22T21:40:53Z,2013-12-27T13:37:30Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-27T13:37:30Z,2013-12-29T21:42:28Z,,NOT_AVAILABLE,,check: data gap: 2 days 08:04:58,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-29T21:42:28Z,2013-12-31T10:25:30Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2013-12-31T10:25:30Z,2014-01-03T03:49:30Z,,NOT_AVAILABLE,,check: data gap: 2 days 17:24:00,friedrich,2017-05-26T00:00:00Z
ctdgv_m_glider_instrument_recovered,D00001,2014-01-03T03:49:30Z,2014-01-04T15:26:22Z,,NOT_EVALUATED,,check: evaluate parameters,friedrich,2017-05-26T00:00:00Z
