Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdbp_seawater_temperature,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-14T00:00:00Z
temperature,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-14T00:00:00Z
practical_salinity,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-14T00:00:00Z
ctdbp_seawater_conductivity,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
ctdbp_seawater_conductivity,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
ctdbp_seawater_pressure,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
pressure,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
pressure,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
pressure_temp,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-14T00:00:00Z
density,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-14T00:00:00Z
density,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
conductivity,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
conductivity,D00001,2015-02-18T21:15:01Z,2015-12-27T11:15:01Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
ctdbp_seawater_temperature,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-14T00:00:00Z
temperature,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-14T00:00:00Z
practical_salinity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-14T00:00:00Z
practical_salinity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
ctdbp_seawater_conductivity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
ctdbp_seawater_conductivity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
ctdbp_seawater_pressure,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
pressure,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-14T00:00:00Z
pressure,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
pressure_temp,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = None global_max = None,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
density,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
conductivity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-14T00:00:00Z
conductivity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Global Range QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
conductivity,D00002,2015-12-14T20:20:08Z,2016-12-11T23:59:57Z,applies to one file,Spike QC Test,,check: test triggered,lori,2017-08-14T00:00:00Z
