Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,ReviewedBy,ReviewedDate
temp,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = -2.0 global_max = 40.0,lori,2017-08-15T00:00:00Z
temp,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-15T00:00:00Z
pressure,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6000.0,lori,2017-08-15T00:00:00Z
pressure,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-15T00:00:00Z
density,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,lori,2017-08-15T00:00:00Z
density,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-15T00:00:00Z
practical_salinity,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 42.0,lori,2017-08-15T00:00:00Z
practical_salinity,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-15T00:00:00Z
conductivity,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,extracted from 1st file of 1 files,Global Range Values,,global min = 0.0 global_max = 6.0,lori,2017-08-15T00:00:00Z
conductivity,D00003,2016-11-25T02:00:03Z,2017-01-28T06:17:07Z,applies to one file,Stuck Value QC Test,,check: test triggered,lori,2017-08-15T00:00:00Z
