Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
ctdmo_ghqr_imodem_instrument,D00001,2015-02-18T21:07:31Z,2015-02-21T01:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-02-21T01:07:31Z,2015-02-23T15:52:31Z,,NOT_AVAILABLE,,check: data gap: 2 days 14:45:00,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-02-23T15:52:31Z,2015-05-18T14:22:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-05-18T14:22:31Z,2015-06-09T08:15:01Z,,NOT_AVAILABLE,,check: data gap: 21 days 17:52:30,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-06-09T08:15:01Z,2015-06-11T00:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-06-11T00:07:31Z,2015-07-19T18:00:01Z,,NOT_AVAILABLE,,check: data gap: 38 days 17:52:30,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-07-19T18:00:01Z,2015-08-03T16:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-08-03T16:07:31Z,2015-08-05T17:22:31Z,,NOT_AVAILABLE,,check: data gap: 2 days 01:15:00,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-08-05T17:22:31Z,2015-08-25T00:07:31Z,,NOT_EVALUATED,,check: evaluate parameters,lori,2017-08-16T00:00:00Z
ctdmo_ghqr_imodem_instrument,D00001,2015-08-25T00:07:31Z,2015-11-22T23:15:01Z,,NOT_AVAILABLE,,check: data gap: 89 days 23:07:30,lori,2017-08-16T00:00:00Z
