Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
RS01SBPD,,2017-02-15T14:43:06,2017-02-15T17:16:00,"On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified.",NOT_OPERATIONAL,11998,,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2017-01-09T18:32:00,2017-01-09T21:30:00,Lightning strike in Pacific City led to data interruption through isolation of both cable lines from shore station equipment.,NOT_OPERATIONAL,11776,,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2017-02-07T13:00:00,2017-02-07T15:00:00,Outage during PNWGP 1-hour router-maintenance,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2017-01-08T19:58:00,2017-01-08T21:41:00,Network outage during major Seattle utility power failure,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-12-22T01:50:00,2016-12-23T12:44:00,Fiber break in Portland due to train crash,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-12-17T18:00:00,2016-12-17T19:00:00,Corvalis data center lost power,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-07-12T02:53:00,2016-07-12T03:51:00,Unexplained loss of power at Pittock Building in Portland,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-05-20T16:33:00,2016-05-20T18:04:00,Fiber break between Portland and Pacific City,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-03-10T23:06:00,2016-03-11T09:30:00,Fiber break between Portland and Seattle,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2016-01-07T06:10:00,2016-01-07T06:52:00,Four 1-minute outages between Portland and Seattle due to maintenance,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2015-08-29T00:00:00,2015-08-29T00:30:00,Outage during major utility power failure in Seattle,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2015-06-13T00:00:00,2015-06-15T16:30:00,Network issues due to fire that damaged fibers between Portland and Seattle,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2015-03-21T14:10:00,2015-03-22T04:20:00,PNWGP outage due to City of Seattle fiber cable work,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2015-01-31T00:00:00,2015-02-04T00:00:00,Intermittent partial data loss due to storage drive problems at OTB,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2015-01-07T07:32:00,2015-01-07T08:06:00,PNWGP Portland <-> Seattle outage,,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD,,2014-12-07T19:45:00,2014-12-16T00:00:00,"PFE down. HVPS1 MOV explosion, 800A breaker tripped, investigation and restoration",,,Verify against data,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A-01-CTDPFL104,,2014-08-23T12:05:00,2014-09-22T00:00:00,Recovered shortly after deployment along with DP01A,NOT_OPERATIONAL,,,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A-01-CTDPFL104,,2015-07-24T03:06:31Z,2015-08-04T22:48:34Z,,NOT_OPERATIONAL,,check: data gap: 11 days 19:42:03,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A-01-CTDPFL104,,2015-08-05T22:12:40Z,2015-09-30T19:23:08Z,,NOT_OPERATIONAL,,check: data gap: 55 days 21:10:28,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A-01-CTDPFL104,,2016-01-20T00:00:00Z,2016-08-09T00:00:00Z,,NOT_OPERATIONAL,,,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A-01-CTDPFL104,,2016-08-09T03:16:00,2017-04-27T00:00:00Z,"Initial data reported via inductive modem, but profiler no longer communicating",NOT_OPERATIONAL,,There appears to be a false deployment record in asset management that needs to be purged,friedrich,2017-04-27T00:00:00Z
RS01SBPD-DP01A,,,,,,,,,
