Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,1,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
seawater_pressure,1,2015-05-28T00:00:00Z,2015-05-30T00:00:00Z,Large pressure spike around 2015-06-01,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,1,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
pressure,1,2015-05-28T00:00:00Z,2015-05-30T00:00:00Z,Large pressure spike around 2015-06-01,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,1,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,2,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
temperature,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,,2017-04-17T00:00:00Z
temperature,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,friedrich,2017-04-17T00:00:00Z
oxygen,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,friedrich,2017-04-17T00:00:00Z
ctd_tc_oxygen,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,friedrich,2017-04-17T00:00:00Z
seawater_pressure,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,,2017-04-17T00:00:00Z
seawater_conductivity,2,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
seawater_temperature,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,,2017-04-17T00:00:00Z
pressure,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,,2017-04-17T00:00:00Z
ctd_abs_oxygen,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,friedrich,2017-04-17T00:00:00Z
density,2,,,Two data points outside global ranges which can affect plotting script color ranges,,,,friedrich,2017-04-17T00:00:00Z
conductivity,2,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,3,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,3,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
density,3,2017-03-16T13:50:00Z,2017-03-19T05:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,3,2016-09-18T15:00:00Z,2016-09-25T02:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
ctd_abs_oxygen,3,2017-03-16T13:50:00Z,2017-03-19T05:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
ctd_abs_oxygen,3,2016-09-18T15:00:00Z,2016-09-25T02:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,3,2017-03-16T13:50:00Z,2017-03-19T05:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,3,2016-09-18T15:00:00Z,2016-09-25T02:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,3,2017-03-16T13:50:00Z,2017-03-19T05:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,3,2016-09-18T15:00:00Z,2016-09-25T02:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,3,2017-03-16T13:50:00Z,2017-03-19T05:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,3,2016-09-18T15:00:00Z,2016-09-25T02:00:00Z,Suspect sudden drop in density during this time period,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,3,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
oxy_calphase,,,,,,,,friedrich,2017-04-17T00:00:00Z
oxy_temp,,,,,,,,friedrich,2017-04-17T00:00:00Z
pressure_temp,,,,,,,,friedrich,2017-04-17T00:00:00Z
