Level,Deployment,StartTime,EndTime,Notes,Test,Redmine#,Todo,reviewed_by
practical_salinity,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich
practical_salinity,D00001,2014-10-06T22:05:23Z,2015-02-23T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
temperature,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_temperature,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich
seawater_pressure,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich
seawater_conductivity,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich
seawater_conductivity,D00001,2014-10-06T22:05:23Z,2015-02-23T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
corrected_dissolved_oxygen,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = 0.0 global_max = 400.0,friedrich
pressure,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
pressure_temp,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
ext_volt0,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Fill Value,,tested: -9999999.0 found: -999999999.0,friedrich
ext_volt0,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_density,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich
seawater_density,D00001,2014-10-06T22:05:23Z,2015-02-23T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
conductivity,D00001,2014-10-06T22:05:23Z,2015-07-05T23:59:59Z,extracted from 1st file of 3 files,Global Range Values,,global min = None global_max = None,friedrich
practical_salinity,D00001,2015-02-23T12:00:00Z,2015-05-27T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00001,2015-02-23T12:00:00Z,2015-05-27T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00001,2015-02-23T12:00:00Z,2015-05-27T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00001,2015-05-27T12:00:00Z,2015-07-05T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00001,2015-05-27T12:00:00Z,2015-07-05T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00001,2015-05-27T12:00:00Z,2015-07-05T23:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 42.0,friedrich
practical_salinity,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
temperature,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_temperature,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = -2.0 global_max = 40.0,friedrich
seawater_temperature,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_pressure,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 6000.0,friedrich
seawater_pressure,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 6.0,friedrich
seawater_conductivity,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
corrected_dissolved_oxygen,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = 0.0 global_max = 400.0,friedrich
corrected_dissolved_oxygen,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
pressure,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
pressure_temp,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
ext_volt0,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Fill Value,,tested: -9999999.0 found: -999999999.0,friedrich
ext_volt0,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
seawater_density,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = 1000.0 global_max = 1100.0,friedrich
seawater_density,D00002,2015-07-08T22:05:39Z,2015-10-10T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
conductivity,D00002,2015-07-08T22:05:39Z,2016-07-16T11:10:49Z,extracted from 1st file of 5 files,Global Range Values,,global min = None global_max = None,friedrich
practical_salinity,D00002,2015-10-10T12:00:00Z,2016-01-11T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2015-10-10T12:00:00Z,2016-01-11T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_density,D00002,2015-10-10T12:00:00Z,2016-01-11T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
practical_salinity,D00002,2016-01-11T12:00:00Z,2016-04-05T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
seawater_conductivity,D00002,2016-01-11T12:00:00Z,2016-04-05T11:59:59Z,applies to one file,Spike QC Test,,check: test triggered,friedrich
