Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
practical_salinity,D00001,,,Multiple isolated spikes throughout the record,,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00003,2016-07-27T10,2016-07-30T17,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-06-15T17,2016-06-19T17,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-05-17T17,2016-05-25T08,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-05-07T02,2016-05-10T06,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-03-14T22,2016-03-20T10,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-03-06T05,2016-03-09T07,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2015-12-15T19,2016-01-07T09,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
temperature,,,,,,,,,
seawater_temperature,,,,,,,,,
seawater_pressure,D00001,2015-05-28T00:00:00Z,2015-05-30T00:00:00Z,Large pressure spike around 2015-06-01. Possible decrease in prevalent upwelling caused platform ,SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00003,2016-07-27T10,2016-07-30T17,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,2016-06-15T17,2016-06-19T17,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
