Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
oxy_calphase,,,,,,,,friedrich,2017-05-02T00:00:00Z
practical_salinity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
practical_salinity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
practical_salinity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
temperature,,,,,,,,friedrich,2017-05-02T00:00:00Z
oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
ctd_tc_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
ctd_tc_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
ctd_tc_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
seawater_pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
density,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
density,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
density,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
oxy_temp,,,,,,,,friedrich,2017-05-02T00:00:00Z
pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
pressure,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
pressure_temp,,,,,,,,friedrich,2017-05-02T00:00:00Z
seawater_temperature,,,,,,,,friedrich,2017-05-02T00:00:00Z
dissolved_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
dissolved_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
dissolved_oxygen,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
conductivity,,,,Isolated spikes and outliers in data record,,,,friedrich,2017-05-02T00:00:00Z
