Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
RS03AXPS,,2017-02-15T14:43:06Z,2017-02-15T17:16:00Z,"On Wednesday, February 15, power to the North and South cable lines of the Cabled Array was interrupted and all deployed infrastructure went offline.  Power was restored on February 16. No hardware issue subsea was identified.",NOT_OPERATIONAL,11998,,friedrich,2017-04-17T00:00:00Z
RS03AXPS,,2017-01-09T18:32:00Z,2017-01-09T21:30:00Z,Lightning strike in Pacific City led to data interruption through isolation of both cable lines from shore station equipment.,NOT_OPERATIONAL,11776,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,2,2016-04-15T22:10:02Z,2016-04-20T15:15:49Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,2,2016-04-20T18:34:58Z,2016-04-22T14:44:53Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,2,2016-04-22T17:46:52Z,2016-04-25T02:24:00Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,1,2014-10-30T05:47:42Z,2014-12-03T22:52:26Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,1,2014-12-07T20:59:39Z,2014-12-16T18:07:01Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,1,2015-02-01T20:36:30Z,2015-02-03T09:56:33Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,1,2015-02-26T17:01:52Z,2015-03-02T20:03:38Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
RS03AXPS-SF03A-2A-CTDPFA302,1,2015-03-07T23:10:59Z,2015-03-09T07:39:49Z,,NOT_OPERATIONAL,12133,,friedrich,2017-04-17T00:00:00Z
